pmProductId,description
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000004,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000005,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000006,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000007,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000008,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000009,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000010,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000011,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (150분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000012,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000013,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000014,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
label: 음성통화 제공량,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 정해진 음성통화 범위에 대하여 제공되는 한도를 의미함(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 음성통화의 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화로 분류됨. (월 단위)),	value: (정보없음)
label: 음성통화 제공량,	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 음성통화 범위에 대하여 제공되는 한도를 의미함. 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (정보없음)
label: 음성통화 범위 (망내통화, 망외통화, 유선통화, 부가통화, 영상통화),	description: (월정액에 포함되어 제공되는 음성통화 한도(월 단위)이며, 제공되는 음성통화 유형을 의미함. 음성통화 유형은 망내통화, 망외통화, 유선통화, 부가통화, 영상통화임. 예를 들어, 망내통화, 망외통화만 지정되어 있을 경우, 요금제 월정액에 포함되어 제공하는 음성통화의 범위는 망내통화, 망외통화에 한정됨),	value: (정보없음)
label: (선택1)기본 제공 음성통화,	description: (월정액에 포함되어 제공되는 음성 통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (무제한)"
PA00000015,"label: (선택1)기본 제공 부가/영상통화,	description: (월정액에 포함되어 제공되는 특수 통화(1566-XXXX, 060 등으로 시작하는 번호 등과 연락하는 경우 부가통화로 분류됨) 및 영상통화 한도(월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함),	value: (300분)
label: 지정통화 가능회선 수,	description: (특정 이동전화번호에 대하여 발생하는 음성통화를 과금 없이 월정액에 포함하여 제공하며, 이때 등록/설정 가능한 특정 이동전화번호 갯수를 의미함),	value: (정보없음)
