pmProductID,productBenefitConditions.optionalOfferBenefits.optionalOfferBenefitDetailList
PA00000001,
PA00000002,
PA00000003,
PA00000004,
PA00000005,
PA00000006,
PA00000007,
PA00000008,
PA00000009,
PA00000010,
PA00000011,
PA00000012,
PA00000013,
PA00000014,
PA00000015,
PA00000016,
PA00000017,
PA00000018,
PA00000019,
PA00000020,
PA00000021,
PA00000022,
PA00000023,
PA00000024,
PA00000025,
PA00000026,
PA00000027,
PA00000028,
PA00000029,
PA00000030,
PA00000031,
PA00000032,
PA00000033,
PA00000034,
PA00000035,
PA00000036,
PA00000037,
PA00000038,
PA00000039,
PA00000040,
PA00000041,
PA00000042,
PA00000043,
PA00000044,
PA00000045,
PA00000046,
PA00000047,
PA00000048,
PA00000049,
PA00000050,
PA00000051,
PA00000052,
PA00000053,
PA00000054,
PA00000055,
PA00000056,
PA00000057,
PA00000058,
PA00000059,
PA00000060,
PA00000061,
PA00000062,
PA00000063,
PA00000064,
PA00000065,
PA00000066,
PA00000067,
PA00000068,
PA00000069,
PA00000070,
PA00000071,
PA00000072,
PA00000073,
PA00000074,
PA00000075,
PA00000076,
PA00000077,
PA00000078,
PA00000079,
PA00000080,
PA00000081,
PA00000082,
PA00000083,
PA00000084,
PA00000085,
PA00000086,
PA00000087,
PA00000088,
PA00000089,
PA00000090,
PA00000091,
PA00000092,
PA00000093,
PA00000094,
PA00000095,
PA00000096,
PA00000097,
PA00000098,
PA00000099,
PA00000100,
PA00000101,
PA00000102,
PA00000103,
PA00000104,
PA00000105,
PA00000106,
PA00000107,
PA00000108,
PA00000109,
PA00000228,
PA00000231,
PA00000693,
PA00002803,
PA00002804,
PA00002805,
PA00002806,
PA00002807,
PA00002808,
PA00002809,
PA00002810,
PA00002811,
PA00002812,
PA00002813,
PA00002814,
PA00002815,
